patient_id,sex,name,birthdate
0,2,LILIANE,1947-05-14
2,2,MATHILDE,1988-06-29
3,2,GILBERTE,1931-09-13
5,2,SYLVIE,1959-04-08
6,2,LAETITIA,1982-10-06
7,2,LYDIA,1973-12-20
11,2,PAULINE,1995-09-19
12,2,DENISE,1926-10-15
13,2,MARIE,1965-06-14
16,2,ARLETTE,1954-01-29
18,2,MARIE-ALINE,1981-06-13
19,2,CORINNE,1964-11-25
20,2,KATIA,1973-02-16
22,2,SUZANNE,1941-09-14
23,2,NATHALIE,1965-03-15
24,2,LOUISE,1931-09-21
29,2,FERNANDE,1927-03-06
30,2,JOSIANE,1930-06-19
31,2,SOPHIE,1987-11-09
39,2,EMMA,1991-08-17
41,2,MARIE-CLAUDE,1969-08-02
42,2,GINETTE,1950-02-04
44,2,MARIE-CLAUDE,1955-08-18
45,2,MARIE,1928-01-31
48,2,FATMA,1971-10-15
52,2,LYDIE,1968-03-09
53,2,ELODYE,1987-05-01
54,2,HORTENSE,1950-08-30
55,2,LUCETTE,1949-02-22
57,2,BRIGITTE,1954-02-07
60,2,EMILIE,1988-10-16
62,2,BERNADETTE,1955-04-20
63,2,LAURE,1965-12-04
64,2,CYRIELLE,1990-12-28
65,2,ARLETTE,1935-08-01
66,2,AUDREY,1993-06-13
72,2,MARTINE,1968-02-25
77,2,ELODIE,1973-10-13
78,2,AUDREY,1977-01-24
79,2,LUCIENNE,1945-01-31
80,2,ELODIE,1992-04-10
82,2,MARIE,1946-09-02
86,2,JACQUELINE,1953-02-28
91,2,GHISLAINE,1955-04-08
95,2,CORINE,1969-07-10
99,2,SONIA,1972-01-08
